time,2016/9/4,2016/9/11,2016/9/18,2016/9/25,2016/10/2,2016/10/16,2016/10/23,2016/10/30,2016/11/6,2016/11/13,2016/11/20,2016/11/27,2016/12/4,2016/12/11,2016/12/18,2016/12/25,2017/1/1,2017/1/8,2017/1/15,2017/1/22,2017/1/29,2017/2/5,2017/2/12,2017/2/19,2017/2/26,2017/3/5,2017/3/12,2017/3/19,2017/3/26
603177.SH,,,,,,,,,,,,,,,,,,,,,,,100,200,66.67,
603169.SH,,,,3.06,0.99,,,,,,,,,0.49,,,,,,,,,,,,
603168.SH,0.84,,,0.4,,0.4,,,,,0.4,0.8,,,,,,,,,,,,,1.19,0.78
603167.SH,,,,,,0.48,0.48,,,,,0.48,,,,,,,,,,,1.42,,,
603166.SH,,,,,,2.7,,,1.32,2.6,,,,,,,,,,,,,,,,
603165.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603160.SH,,,,,,,,200,50,,200,22.22,,9.09,,11.11,10,,23.08,18.75,,,,10.53,4.76,
603159.SH,,,,33.33,,,50,66.67,,22.22,18.18,7.69,,14.29,,,6.25,,22.22,27.27,,,29.03,5.13,,
603158.SH,2.08,,,,,,,,,,,,,,,,,,,,,,,,,
603139.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603138.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603133.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603131.SH,,,,,11.11,,10,27.27,,,,,,,,,,,,,,,,,,
603129.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603128.SH,0.53,,,1.06,2.63,,0.51,,,,,,1.03,,,,,,,,,,,,,
603127.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603126.SH,,,,2.61,1.69,,,,,,,,0.83,,,,1.65,,2.42,1.43,,,,,0.79,1.56
603123.SH,,,,,,,,,,,1.3,,1.28,,,,,,,,,,,,2.5,
603118.SH,3.96,,,0.93,0.92,,0.9,0.89,1.77,4.35,,1.67,,,,,,,,,,,0.82,,0.81,
603117.SH,1.33,,,1.27,1.25,,,2.47,,,1.2,2.38,,,,4.65,,,,,,,,,,
603116.SH,,,,,,1.39,,4.11,1.32,,,1.3,,,2.56,,,,,,,,,,2.5,1.25
603113.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603111.SH,,,,,,0.31,0.31,0.31,,0.3,,0.3,,,0.61,,,,0.3,,,,,,,
603108.SH,2.99,,,,,,,,,,,,3.03,,,,,,,,,,,,1.52,
603101.SH,,,,,,,4.55,,,17.39,,,,3.7,,7.14,,,,,,,,,,
603100.SH,,,,,,,,3.16,,,,2.04,,,,,1.01,,2,,,,,,,
603099.SH,1.81,,,,,,2.91,,,0.56,,,,,0.56,,1.11,,0.55,0.55,,,,,,
603098.SH,,,,,,,,,,,,,,,,,,,,,,,100,,,
603096.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603090.SH,,,,,,,100,100,50,33.33,,16.67,7.14,13.33,11.76,15.79,,,,,,,,,,
603089.SH,,,,,,,,,,,,,,,,,,,,,,,,,33.33,75
603088.SH,3.17,,,,1.54,1.52,1.49,1.47,1.45,1.43,4.23,1.37,2.7,,,,2.63,,,,,,,,,
603086.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603085.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603081.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603079.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603078.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603077.SH,,,,,0.67,,,,1.32,0.65,,,,,,,,,,,,,,,0.65,
603069.SH,,,,,,,,10.71,3.23,3.13,3.03,,,,,,,,,,,,,,,
603067.SH,,,,,,,,80,25,50,33.33,15,,,,,,,,4.35,,,7.69,,,
603066.SH,,,,,,,,2.82,6.76,1.27,1.25,1.23,6.1,1.15,2.27,,1.11,,,,,,,1.09,,
